,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
34,already,walking,stop,you,away,re,said,step,take,me,it,dead,running,always,and,sorryhow,sorrystop,erraticand,gopanic,mestop,somebodywhen,rational,inconsistency,say,over,fanatic,let,down,immune,changeyou,or,conflicted,addict,babyyou,dragging,baby,back,to,just,panic,static,one,seasons,not,everything,hits,out,mistakes,snow,livin
35,you,doppelganger,know,shined,where,dark,the,obey,defeated,start,when,to,gates,scar,say,hidden,flower,brighter,guard,grows,rule,universe,smiling,find,grey,said,choice,park,angels,what,keeping,as,jump,it,don,telling,can,how,wall,are,gold,along,kill,already,gets,rain,full,making,yourself,do
36,oh,heaven,doubters,no,took,you,let,solet,blast,go,don,baby,dance,stare,ll,angel,too,cause,girl,never,this,music,me,to,strong,here,matter,couldn,bring,sure,gon,be,chasing,when,they,by,and,came,like,so,the,it,sentso,better,want,long,an,fear,our,outlaw
37,sweet,link,cocoa,coco,hangin,you,yah,yeah,cause,re,up,is,skrrt,straight,do,wanna,go,all,pasã,sweetcause,with,sak,no,the,out,like,seh,hoops,lit,shout,my,wah,but,order,cake,how,live,runnin,sweetlike,bag,come,sidecause,bezerk,jewelers,hula,loops,awaywhen,who,tryna,ride
38,paradisecan,swaying,dots,connect,we,stray,disco,motion,paradise,closed,twice,loving,sea,make,afraid,hair,lay,slow,side,the,don,can,long,find,us,our,eyes,by,night,think,through,it,here,will,back,way,you,from,let,down,never,see,ll,now,if,love,like,with,know,be
39,already,dragged,bridge,wall,take,the,get,through,fall,and,you,all,it,ll,love,been,ve,scream,loud,before,allows,costing,both,sealed,biting,haunting,lost,did,spirit,fate,too,cross,down,got,running,me,break,we,than,our,look,more,keep,think,life,feel,was,let,there,time
40,favorite,thingswhen,packages,few,stings,bites,bee,woolen,kettles,simply,strings,mittens,whiskers,tied,kittens,brown,copper,raindrops,paper,dog,these,sad,and,my,roses,are,remember,when,bad,with,feeling,warm,thingsgirls,sashes,schnitzel,thingscream,bright,strudels,ponies,things,geese,doorbells,on,crisp,satin,lashes,winters,white,snowflakes,noodles
42,brimstone,fire,and,she,firei,spaghetti,her,quickened,dryer,firenow,tirebrimstone,firebrimstone,woman,met,tomato,firethe,scold,cinema,said,pleasant,laundry,forget,mat,sock,tire,glance,candles,leading,sigh,make,following,light,sauce,smiled,cap,pace,saturday,dinner,cake,below,kissed,would,shoulder,yellow,brings,the,luck,this,week,heart
48,bella,luna,beautiful,you,the,swoon,do,moon,of,oh,may,suggest,mystery,intertwining,riffs,tiding,imposing,chases,illuminating,ilet,combining,farthest,boundary,wry,no,constellation,leagues,nightlight,closin,ebb,ia,chance,insist,reservation,cosmic,larger,supernatural,anchor,dedication,contest,brink,smaller,expose,royalty,reaches,wish,infinite,best,singer,re
49,could,forever,kiss,this,hold,have,beso,para,siempre,you,night,un,lifetime,want,for,beside,share,close,dame,to,together,solo,eyes,look,by,siempreover,knowcould,into,waycould,pleasecould,over,and,next,me,all,wish,captured,side,end,never,time,dreamed,your,desire,lived,spent,baby,loving,taste,are
50,true,love,forever,give,guardian,lovefor,to,angel,you,high,honeymooners,truegive,truefor,arewhile,lovegotta,suntanned,nothing,windblown,me,as,on,par,have,oh,do,and,lucky,with,but,yeah,above,far,feeling,last,alone,always,more,will,how,at,we,so,be,your,it,plaguewell,playing,playingpush,playingrococo,playingthere
51,you,knowing,spare,sinks,ya,hearing,understand,girl,hope,your,yeah,was,forlast,huh,feelings,telling,nice,re,don,believe,baby,ma,gonna,life,dreaming,man,own,what,me,tonight,that,have,night,for,well,lame,my,confused,thinking,excuse,to,games,no,ain,think,do,ocean,stop,piece,ll
52,tumbled,the,rolled,cried,filled,glen,greenwood,mornin,woman,gleamin,buds,glowin,ain,night,doom,landscape,long,and,whole,vine,strain,this,drivin,up,flat,well,darlin,troubles,shade,return,rising,early,weather,dawn,let,forgive,golden,woke,shadows,paid,warm,spent,conjuring,yearswell,brainsthe,maidi,burnthe,tombslet,comin,endwell
53,ice,rollies,white,on,rockin,etcetera,bite,we,the,done,profile,mula,dealers,some,peep,real,got,talibans,50s,keep,watchin,amazon,for,royces,her,avatar,drug,money,bentayga,investigation,she,ain,canary,baptized,you,stick,dirty,icy,cash,stackin,me,same,vvs,don,ma,before,hundreds,stones,emotions,tryna
54,lullaby,thy,thee,bedight,lilies,shalt,rest,abide,wee,slumber,breast,er,delight,thou,guard,roses,blessed,spread,good,angels,night,beside,darling,bright,mother,lay,may,bed,wake,and,with,my,baby,will,at,they,down,now,is,be,on,playeri,playfulness,playingrococo,playground,playingpush,playful,players,playhonest,playing
55,morph,else,someone,above,mechanism,ll,mode,hounded,to,defense,and,zeroes,under,ghost,surrounded,if,moving,we,they,scientific,is,belief,when,ones,sword,or,possible,chorus,throw,slow,miracle,sleeve,remains,me,until,he,for,around,won,that,starts,keep,still,question,done,know,invades,bourbaki,tormentors,transmitting
56,awhile,cried,well,cry,turn,you,the,your,for,now,it,to,can,fighting,pasquale,fringes,goldsmith,pennsylvania,pulpits,senile,longin,stabbin,denver,rooster,ribs,profile,and,be,crossin,preachers,trusting,union,pounding,mild,dealin,cribs,phony,lettin,barrel,alley,meek,pan,lawyer,funeral,trial,whiskey,awful,was,named,sticks
57,knowing,with,tire,feeling,thought,fears,desire,whenever,near,and,the,fear,falling,seems,never,tears,hell,lost,going,new,all,us,of,that,heart,where,you,have,from,get,love,re,this,like,we,know,your,my,me,in,to,playingrococo,playingpush,playersee,playing,players,playfulness,playground,playgrounds,playhell
58,weeds,messy,tangled,street,in,grass,the,tall,faces,cross,if,come,you,catch,lay,bed,toil,white,lie,me,soil,die,hope,trying,roots,let,stays,go,ever,out,and,love,my,heart,here,crying,fade,grow,take,on,down,under,bring,watch,break,to,show,away,through,as
59,nobody,else,ain,2x,but,can,make,youthere,you,lie,nightain,yousomebody,me,youchorus,reunite,who,do,cry,it,bittersweet,delight,one,right,is,eat,come,to,chorus,cause,there,chance,help,body,sleep,true,close,re,no,has,us,give,my,more,or,through,tell,baby,the,time,not
60,ooh,run,away,to,movie,plans,with,come,meant,me,doesn,just,ve,we,matter,be,do,you,starring,the,true,hey,baby,hand,feeling,my,take,surprised,mexico,go,got,were,shy,york,won,book,beauty,what,prove,in,places,could,need,read,on,boys,low,lay,seems,time
62,then,come,you,on,socials,gain,online,phones,bad,me,record,wife,think,read,fuckin,mother,mouth,rude,saying,lonely,again,tell,saw,nobody,if,so,move,why,your,it,am,act,scrutinize,compromised,see,being,know,about,since,tackle,miserable,trying,what,yeah,like,hush,money,are,itself,say
63,superblind,genius,about,think,you,century,colours,keep,oni,they,harm,help,prayer,shouldn,keeping,me,the,could,sense,superblindwhen,runisn,leaveisn,put,mehere,it,sicker,just,we,being,doing,props,won,behind,thinking,next,in,your,sleep,here,on,maybe,romantic,bittersweet,what,defeat,tonight,meit,thought,have,stay
64,teenage,vow,parking,hum,hallelujah,part,swallow,lot,till,blues,tonight,the,us,sing,you,key,in,itso,and,looked,loved,just,reason,do,them,foot,off,someone,thought,we,light,write,shopi,rayed,better,parta,toomy,tooso,are,construction,it,nostalgic,felt,hell,knows,hired,versus,sometimes,insides,chapel
65,dialing,911,fine,sooni,mornings,brink,typical,the,likes,too,case,trouble,finetell,moon,hereoh,little,locket,whistling,in,fire,remedy,ini,of,up,change,riot,can,time,again,everything,wrap,on,you,he,would,kitchen,my,boat,then,pocket,rap,corner,paper,could,is,window,wind,front,at,oh
66,thought,knew,knows,you,but,nobody,think,the,yeah,way,do,know,gonobody,frighteningly,knewbetween,banded,knewstay,samethe,tickles,seaweed,chorus,atop,casts,currents,sing,hears,watch,yell,chin,glimpse,freezing,just,reached,surrounded,stay,tide,crawl,floating,bone,angels,tall,strange,shadows,songs,jump,knees,win,blame,walls,sea
67,foolin,always,never,just,my,oh,you,love,like,such,liesyou,heart,soul,hearti,with,told,thought,wore,fever,awayi,said,re,she,loves,finger,me,ran,crying,trouble,know,leaving,mother,loved,happy,let,pretty,felt,somebody,gave,forever,pain,took,those,and,might,another,be,made,much,your
68,mercy,worthy,re,you,unbind,comewhen,her,will,ready,when,and,flowing,beauty,comeit,rubblewell,comemercy,mercymercy,the,word,windowsill,kneeling,set,tuning,doubting,she,for,through,sneaking,free,coming,spoon,troubled,powers,among,your,sugar,breaks,dawn,hours,given,birds,it,feel,step,finally,front,down,broken,room,round
71,chrissie,bravely,rather,were,pulled,car,you,her,if,they,ratherif,offbravely,offif,policemen,duty,let,off,stopped,ratherwon,take,drive,caught,won,behind,me,fire,please,two,before,well,your,the,not,just,know,but,can,on,in,and,pleaseand,player,playeri,playerno,playero,playerplaya,pleaseinspector,players,pleasei,playful
73,you,wheeler,hey,18,me,wit,feelins,reconsider,hurt,can,your,shield,someone,sword,run,skirt,there,not,underground,slave,girl,ll,truck,over,waitin,that,games,short,gonna,up,what,problem,kinda,plan,chain,everywhere,push,tryin,hang,fade,against,window,come,are,beautiful,chorus,lay,cause,let,today
74,ok,robocop,stop,you,now,la,drop,spoiled,girl,it,need,kidding,she,never,to,verse,re,little,her,oh,ha,told,just,become,don,will,moving,an,patrol,chorus,parole,like,good,uh,stephen,know,or,ain,robot,disagree,joking,first,no,while,degree,that,baddest,checking,turn,did
75,paths,road,victory,troubles,shall,of,walkthe,trails,battles,lead,the,roads,battle,cinders,fieldstrails,skytrails,linin,walki,hummin,bumpy,gravel,yonder,and,dusty,trail,valley,we,is,was,they,wheels,hangin,rough,waitin,mountain,silver,movin,kinda,walked,across,your,turned,boys,that,its,ride,dark,seen,far,coming
76,azucar,regalame,poco,un,la,de,te,caramelo,dejare,vuelva,dulce,sola,deja,duro,loca,sucia,que,mente,tu,babe,patched,gusto,si,tienes,eres,blessed,candy,were,solo,lane,that,later,brain,profundidades,jontel,mostyn,pimentel,breaker,yo,sabor,stardust,miguel,running,necesito,viene,writer,tenerte,no,jaw,flavor
82,nothin,discreet,trick,ah,uh,wrong,throwin,could,treat,bit,kinky,seat,be,my,sheet,window,meat,lotta,street,there,you,raw,little,hole,with,piece,the,clothes,of,off,bed,lot,without,keep,micro,muff,zeus,overheat,budge,hes,tastin,never,proposition,wheat,go,crows,scrub,in,glove,leap
83,christmas,bells,ring,ling,silver,hearsilver,sidewalks,soon,hear,city,daycity,daystrings,the,bustle,shoppers,them,street,crunch,lights,smile,treasures,it,will,meeting,blink,in,bunch,time,holiday,santa,passing,laughing,dressed,busy,rush,style,snow,children,scene,corner,green,be,bright,kids,above,air,red,after,their,big
85,london,traffic,streets,cars,polluting,the,systems,elsewhere,chance,coloured,filth,city,blocking,many,direct,neat,confusion,one,bother,signs,dirt,look,give,survive,cover,state,problem,answer,nowhere,fill,to,very,take,drive,breath,at,air,wonder,seems,car,knows,round,care,far,free,no,place,going,leave,really
86,papa,until,paparazzipromise,paparazzi,you,ll,superstar,baby,biggest,fan,be,famous,chase,ii,follow,that,snap,stop,kind,your,we,love,mine,price,other,boy,paparazzireal,cigarettesshadow,fantasticoleather,paparazzii,eyeliner,funi,dance,glamorous,lashes,won,know,is,backstage,guitars,but,me,velvet,teardrops,magical,ropes,garage,cherry,photo,studio
87,mhmmmmm,you,baby,memhmmmmm,againlying,my,sad,home,51,pray,wrongso,mended,korea,and,once,moan,alonei,feeling,roam,left,now,beside,heart,me,sin,here,darling,father,send,sick,called,story,lord,all,mother,goodbye,boys,broke,was,bed,doing,broken,dead,cry,lose,love,hey,no,please,with
89,who,thrillswho,werehide,were,beautiful,phoney,host,remember,surrounded,cracks,holes,bills,souls,scars,you,post,the,no,screaming,mirror,so,memories,family,your,skin,from,was,hide,stop,hear,all,always,our,won,and,they,one,now,know,for,can,on,in,played,playful,playfulness,platted,platoon,playground,playgrounds
90,run,waits,away,time,you,especially,babytime,about,one,walls,no,move,for,unless,deny,oh,wanna,so,hartman,sad,ittime,me,what,it,arms,awaythe,do,holly,can,dan,open,your,fire,baby,knight,reveal,take,seconds,tick,gain,don,know,release,prison,loneliness,tender,chances,gotta,lock,the
91,you,only,modern,know,simply,meonly,cos,breaks,away,everyday,fade,feelings,since,went,waiting,found,words,joyless,mindwith,chemicalsgive,captivity,historical,all,thunderbird,hysterical,my,mewhat,heart,me,breed,pointless,sleeps,bruised,to,make,there,shines,not,fancy,steps,often,the,drinking,re,wine,like,life,doin,don,mei
92,patience,little,healing,have,chorus,numb,feeling,try,just,still,frustration,has,while,believe,depend,salvation,complicated,hard,emotions,x2,hurting,scars,my,heart,wanna,so,be,minute,cause,arms,strong,understand,any,deep,me,move,pain,close,no,trying,start,tonight,to,run,lost,stop,the,is,inside,but
94,disproportioned,head,huge,and,size,ve,fit,got,caesarean,nice,dodger,parasol,it,cause,convertible,don,my,skull,because,noose,surgery,hats,doll,blocks,scar,x3,they,offer,aware,can,really,advice,try,honestly,foot,around,the,that,mom,twice,me,cars,lying,near,ahead,point,laugh,across,stuck,make
96,race,higher,don,place,another,to,latest,space,take,everything,the,nothing,mind,if,me,know,about,placetake,youi,yeah,styletake,eyestake,perfect,have,everyone,so,is,get,you,out,all,frown,smiles,time,sees,happiness,of,youyou,chasing,within,fool,star,worth,meet,seems,sing,town,nobody,dreams,song
97,theoutside,risen,kept,the,wound,slept,bound,saved,pieces,secrets,twinge,harmed,tidiness,tight,and,spelled,carelessness,crawls,hairs,rite,objects,lounge,remained,that,sing,tried,you,as,mostly,graveyard,knew,without,verses,glowing,passes,softly,neon,mic,laughed,they,ve,it,gray,picked,all,on,holy,threw,fault,grown
100,leanin,leather,recline,seats,on,back,year,million,last,made,only,riff,versace,eight,slurping,delk,roosevelt,eleanor,heist,braun,shot,gridin,1927,dung,tangerine,mignon,sevens,relaxin,filet,reflects,richie,houdini,swung,jumpers,raff,jumps,harry,drapes,grape,ounces,vanish,plates,lime,ski,bob,earthquake,fendi,ben,estate,lemon
101,you,searching,need,love,life,ll,been,it,your,deserve,within,change,be,ve,chance,all,upon,of,scared,rest,for,save,soon,don,can,live,heart,try,again,hold,way,know,are,lovers,please,liveyou,manlet,loveplease,to,the,tell,ooh,shield,and,yeah,wound,faithful,yeahyou,me,heal
102,ready,really,are,lonely,talking,you,boy,know,or,me,for,wanna,no,need,lots,love,it,please,talk,tell,is,backtell,againreally,again,miseryso,againtell,the,knowtell,time,againnow,fulfill,visualize,to,forgiven,confusing,and,heartbreak,heading,promised,praying,tells,now,dont,that,gonna,this,filled,needs,just,we
103,real,life,oh,yeah,awaythat,mama,talking,destructive,that,ooh,ruin,lets,seemed,me,choose,few,it,push,lifeheaven,boymama,moremama,alonethat,called,woman,lifethat,loved,worth,late,lifei,em,to,allowed,for,one,never,precious,misery,risk,them,regret,said,choice,every,lovin,day,only,too,learned,tell,know
104,miles,many,to,far,the,how,have,get,do,haven,send,youmany,yeah,go,happy,sunsets,helping,you,ve,wishing,too,learned,milesmany,yet,and,milesi,aroundcause,follow,oh,talking,blue,ll,but,fare,love,seen,yeahyeah,spreading,been,god,done,lifei,goodbyes,be,me,nowi,it,something,surely,things
105,afternoon,the,confines,ripples,avenues,direct,tastewe,crawling,laughter,hat,ceiling,sugar,evening,waste,walls,together,their,own,place,ll,atyou,attitudesand,insistand,stools,something,atand,shirtless,hold,tickling,find,violently,obsessions,swung,unfamiliar,some,patterns,away,tradition,in,silently,confident,to,followed,me,oh,fools,sat,you,whisper,stood
106,powerfulwe,are,powerful,we,stood,bright,moon,fell,turned,the,stars,round,dark,knew,high,while,same,were,and,world,still,night,then,adventurous,iwe,was,magnetic,love,invincible,mysterious,unique,when,incredible,mewe,bold,electric,wise,wonderful,on,that,in,grow,beautiful,free,dream,old,won,you,playfulness,playhell
107,mr,ride,taking,diver,for,whips,keys,woo,grow,breeding,boney,politician,the,cow,rider,we,driver,know,skinny,let,dip,rip,garden,master,bleeding,doctor,now,murder,tall,pocket,here,don,fill,eat,how,take,drink,drive,hide,go,lie,together,it,inside,call,man,eyes,gonna,and,you
109,never,you,he,ll,know,yeah,many,like,me,lonely,understands,thinking,love,trying,yourselfi,feeling,realize,fingertips,biting,how,nights,lip,cause,re,trick,til,girl,just,why,days,wish,honest,it,that,sitting,neverhold,metalking,better,playing,neveri,say,cut,one,every,day,but,can,kiss,could,of
111,singe,ich,zwei,drei,eins,vier,melodien,keine,vierich,viereins,playingpush,played,player,playeri,playlook,playlist,playerno,playlet,playero,playerplaya,playit,playersee,playingrococo,playingthere,playboywhoa,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,players,playful,playboy,playmakers,plate,plateadas,plateau,plated,platedand,platei,plates,platetime,platform,platforms,platinum,platinumi,playboywell
114,show,verb,love,ain,verblove,thing,is,screamwhen,verbyeah,verbso,iouslove,me,you,crutch,pile,despite,gotta,something,excuse,drug,it,yeah,not,heard,words,own,an,that,through,need,ve,get,no,what,just,don,can,your,on,of,playingrococo,playground,playgrounds,playhell,playhonest,playing,playingthere,playlist,playlet,playif
116,diamonds,super,pacifics,posin,rubies,specific,richest,delicious,posed,vicious,cupid,takin,distance,pictures,smell,stupid,from,red,be,make,are,like,don,me,to,the,playful,playersee,players,pleasehelp,playero,playerno,playeri,pleaseset,playerplaya,playgrounds,playground,player,playhell,playhonest,playif,playin,playing,playingpush,pleases,playingrococo,playingthere,playfulness,played,playboy
117,know,historyhow,rather,why,just,scenes,medon,everytime,kissing,smoking,busy,police,whenever,rules,weed,we,don,breaking,youi,come,want,you,breathe,miss,making,kiss,love,care,live,fuck,be,things,about,too,me,here,say,cause,they,see,get,re,like,can,your,that,and,to,the,played
119,darling,worry,ah,locked,tight,got,don,turn,out,to,light,lights,won,upfront,re,basking,concentration,loses,wiped,casualty,the,in,watch,you,run,account,they,station,it,form,undone,shaking,still,storm,tv,doubt,ahead,shoot,step,fun,make,one,easy,there,see,dead,round,guess,everybody,no
120,princely,peels,piles,dared,quietly,hush,orange,spark,cried,felt,me,hide,feels,dark,god,in,you,told,it,fall,the,always,how,believed,way,of,out,feelme,scraped,feelnever,inme,feelonce,orthodox,potpourri,godly,from,clutching,so,frosty,now,strain,to,pulls,yelling,my,medicine,cure,hearing,swimming,things
121,do,remember,centuries,dosome,hey,legends,centurieshey,ya,history,me,mistake,for,dust,will,gold,you,told,are,turn,to,some,or,down,go,we,ll,heartcome,youthdo,yourselfdo,centuriesand,centurieswe,centuriesmummified,soondo,and,take,all,one,fingerprints,amnesia,my,is,but,poisoned,forever,dreams,the,in,teenage,bruises,blossom
123,oddest,jones,mr,ever,he,national,mrs,clever,weird,jonesin,treasure,pleasure,you,the,brought,everyone,attack,full,careful,heard,best,re,boy,his,know,joneshe,joneseven,rhe,rthe,made,much,rin,pushes,world,knows,goes,line,after,prevail,as,mates,though,gifted,odd,seldom,here,moral,naughty,proper,mighty
124,love,feelin,is,this,that,tumbling,wanna,axis,dread,complex,walls,believe,keep,suffering,falling,you,the,table,chase,re,turns,secret,on,life,dirty,socome,burnsnow,inthis,undressthis,headthis,story,sit,does,thingyou,full,round,forget,touch,help,watch,undress,when,come,told,so,from,never,spring,can,head
125,lifeline,looking,drowning,for,breaking,lifetime,pain,seems,anybody,line,again,was,despair,the,down,there,out,ocean,awayyeahi,lifelineso,lifelineyou,lifelineis,faulti,groundi,blaming,wrongi,pull,in,been,struck,and,like,myself,tore,realized,ve,pushing,of,world,this,what,built,asked,faith,fade,ones,walls,way,all,loved
126,love,the,sorrows,you,waves,was,end,worldlove,actinglike,groom,tart,were,spiked,lovelove,of,element,brim,surrounding,worldi,spilling,bride,we,reached,ate,destroy,time,garden,except,innocent,drank,drowning,passing,swim,surprise,kissed,regret,food,joy,wine,lit,as,learned,having,quite,haven,lead,playing,your,drink,lips
127,wasn,ooh,moving,he,more,yeah,regular,actually,by,guy,could,it,been,no,called,if,now,still,other,and,ve,love,for,reacted,just,today,not,miss,attractive,that,don,some,rejected,yes,night,respected,in,free,wiser,maybe,hey,wrong,his,feeling,going,refuse,me,oh,should,call
128,lonely,paradise,ahh,seat,wanna,thinkin,side,no,starin,ain,lies,road,and,tellin,nine,ridin,then,in,believe,oldsmobile,yhere,hear,window,something,to,re,69,seem,the,there,we,don,years,poles,claus,it,limousine,of,this,what,old,back,want,wander,tales,funeral,fairy,just,flyin,they
129,lay,lady,brass,stay,across,bed,big,awhile,longer,aheadstay,toowhy,seenstay,shinelay,youlay,you,any,wait,while,his,my,the,your,cake,colors,them,man,he,still,begin,night,clean,ahead,dirty,eat,clothes,whatever,are,have,front,standing,see,smile,ll,until,hands,best,him,break,and,with
